,0
0,0022500724
1,0022500720
2,0022500721
3,0022500722
4,0022500725
5,0022500723
6,0022500716
7,0022500718
8,0022500719
9,0022500717
10,0022500712
11,0022500714
12,0022500713
13,0022500715
14,0022500709
15,0022500706
16,0022500702
17,0022500707
18,0022500705
19,0022500703
20,0022500704
21,0022500710
22,0022500708
23,0022500711
24,0022500698
25,0022500700
26,0022500699
27,0022500701
28,0022500692
29,0022500697
30,0022500694
31,0022500695
32,0022500687
33,0022500693
34,0022500689
35,0022500690
36,0022500691
37,0022500696
38,0022500688
39,0022500529
40,0022500684
41,0022500685
42,0022500683
43,0022500680
44,0022500686
45,0022500681
46,0022500682
47,0022500676
48,0022500677
49,0022500679
50,0022500678
51,0022500674
52,0022500675
53,0022500672
54,0022500673
55,0022500671
56,0022500667
57,0022500669
58,0022500664
59,0022500668
60,0022500665
61,0022500670
62,0022500666
63,0022500658
64,0022500657
65,0022500662
66,0022500660
67,0022500659
68,0022500663
69,0022500661
70,0022500650
71,0022500644
72,0022500653
73,0022500655
74,0022500654
75,0022500656
76,0022500647
77,0022500646
78,0022500645
79,0022500643
80,0022500648
81,0022500649
82,0022500638
83,0022500640
84,0022500637
85,0022500642
86,0022500641
87,0022500636
88,0022500635
89,0022500639
90,0022500632
91,0022500627
92,0022500628
93,0022500629
94,0022500631
95,0022500633
96,0022500634
97,0022500630
98,0022500620
99,0022500625
100,0022500621
101,0022500626
102,0022500624
103,0022500623
104,0022500622
105,0022500615
106,0022500614
107,0022500619
108,0022500613
109,0022500618
110,0022500616
111,0022500617
112,0022500015
113,0022500608
114,0022500609
115,0022500017
116,0022500610
117,0022500016
118,0022500014
119,0022500611
120,0022500612
121,0022500603
122,0022500604
123,0022500607
124,0022500602
125,0022500606
126,0022500605
127,0022500597
128,0022500598
129,0022500593
130,0022500599
131,0022500594
132,0022500601
133,0022500596
134,0022500600
135,0022500595
136,0022500588
137,0022500587
138,0022500589
139,0022500591
140,0022500590
141,0022500592
142,0022500584
143,0022500585
144,0022500578
145,0022500580
146,0022500582
147,0022500579
148,0022500581
149,0022500583
150,0022500586
151,0022500576
152,0022500574
153,0022500575
154,0022500572
155,0022500577
156,0022500573
157,0022500571
158,0022500566
159,0022500570
160,0022500567
161,0022500569
162,0022500568
163,0022500564
164,0022500565
165,0022500561
166,0022500559
167,0022500562
168,0022500560
169,0022500558
170,0022500563
171,0022500548
172,0022500552
173,0022500557
174,0022500551
175,0022500550
176,0022500554
177,0022500556
178,0022500555
179,0022500553
180,0022500549
181,0022500546
182,0022500542
183,0022500545
184,0022500544
185,0022500543
186,0022500547
187,0022500539
